Threads per block 64
1024 0.278432 0.016448 0.013088
2048 0.021568 0.008192 0.011136
4096 0.02352 0.013312 0.017984
8192 0.024672 0.008192 0.012928
16384 0.027584 0.013344 0.016224
32768 0.218496 0.022272 0.040384
65536 0.260448 0.04672 0.076128
131072 0.372512 0.137984 0.144384
262144 0.552608 0.275648 0.282816
524288 1.58883 0.543136 0.549984
1048576 1.29786 1.08208 1.27501
2097152 3.38835 2.15504 2.3528
4194304 4.9601 4.98637 4.51667
8388608 9.32115 9.27488 9.84176
Threads per block 128
1024 0.047104 0.018432 0.19904
2048 0.023584 0.01232 0.012
4096 0.02352 0.007264 0.011104
8192 0.023552 0.007168 0.011392
16384 0.037888 0.012352 0.282368
32768 0.225024 0.669344 0.2288
65536 0.954368 0.111392 0.256704
131072 0.345536 0.269632 0.329696
262144 0.391744 0.456128 0.45824
524288 1.10083 0.728384 0.7392
1048576 2.12499 1.08157 1.08701
2097152 2.34368 2.15254 2.35114
4194304 6.05904 4.49514 4.67078
8388608 10.0067 10.0806 10.473
Threads per block 256
1024 0.048128 0.018432 0.015872
2048 0.022528 0.008224 0.011808
4096 0.02048 0.0072 0.011456
8192 0.023584 0.013312 0.0184
16384 0.031712 0.024576 0.21792
32768 0.077024 0.675488 0.225792
65536 0.263552 0.047424 0.070144
131072 0.19344 0.133408 0.137728
262144 0.478912 0.275456 0.27248
524288 0.758912 0.54656 1.4135
1048576 1.33581 1.07814 2.02662
2097152 2.22173 2.15654 2.96333
4194304 4.5511 4.49802 4.50646
8388608 10.0229 8.80211 8.9305
Threads per block 512
1024 0.047136 0.015392 0.013184
2048 0.03584 0.0256 0.202656
4096 0.025568 0.018592 0.014304
8192 0.029696 0.010272 0.013312
16384 0.036864 0.0256 0.21424
32768 0.225344 0.146784 0.247392
65536 0.261344 0.111712 0.257408
131072 0.344096 0.140352 0.329248
262144 0.482432 1.89139 0.469376
524288 2.39834 1.69226 0.72784
1048576 1.32346 1.22093 1.26918
2097152 3.33456 3.13792 3.50624
4194304 5.58701 4.9135 6.17514
8388608 8.91251 8.61139 9.6096
Threads per block 1024
1024 0.049152 0.024576 0.049632
2048 0.03072 0.012416 0.011776
4096 0.031744 0.006176 0.061152
8192 0.027648 0.008224 0.012128
16384 0.039936 0.011296 0.015296
32768 0.245408 0.022048 0.310112
65536 0.273632 0.04784 0.07408
131072 0.361088 0.141152 0.140928
262144 0.54928 1.22598 0.274848
524288 0.761248 0.639328 0.733728
1048576 1.30723 1.9024 1.2663
2097152 3.15802 2.15133 2.33347
4194304 4.59526 4.49654 4.47997
8388608 8.8311 10.2527 10.1213
