Threads per block(1):
1024: 0.380000 ms
2048: 0.254304 ms
4096: 0.299616 ms
8192: 0.396768 ms
16384: 0.580800 ms
32768: 0.936992 ms
65536: 1.682784 ms
131072: 3.252864 ms
262144: 7.581792 ms
524288: 14.756544 ms
1048576: 24.676895 ms
2097152: 47.963871 ms
4194304: 96.285538 ms
8388608: 178.193253 ms
Threads per block(2):
1024: 0.218976 ms
2048: 0.076352 ms
4096: 0.060192 ms
8192: 0.112096 ms
16384: 0.206848 ms
32768: 0.375584 ms
65536: 1.520224 ms
131072: 1.644512 ms
262144: 3.056096 ms
524288: 6.795072 ms
1048576: 14.793312 ms
2097152: 23.671295 ms
4194304: 46.562943 ms
8388608: 90.906273 ms
Threads per block(4):
1024: 0.289504 ms
2048: 0.219680 ms
4096: 0.240800 ms
8192: 0.259264 ms
16384: 0.306144 ms
32768: 0.414304 ms
65536: 0.965920 ms
131072: 0.947712 ms
262144: 1.699072 ms
524288: 5.029120 ms
1048576: 7.338624 ms
2097152: 13.475264 ms
4194304: 23.941055 ms
8388608: 50.279743 ms
Threads per block(8):
1024: 0.222400 ms
2048: 0.216160 ms
4096: 0.220480 ms
8192: 0.525632 ms
16384: 0.270400 ms
32768: 0.316608 ms
65536: 0.410240 ms
131072: 0.606272 ms
262144: 0.992320 ms
524288: 2.524128 ms
1048576: 3.337536 ms
2097152: 6.489824 ms
4194304: 12.539968 ms
8388608: 25.348576 ms
Threads per block(16):
1024: 0.218432 ms
2048: 0.216480 ms
4096: 0.213536 ms
8192: 0.220032 ms
16384: 0.235840 ms
32768: 0.261088 ms
65536: 0.318208 ms
131072: 2.179456 ms
262144: 0.827424 ms
524288: 1.071136 ms
1048576: 1.883744 ms
2097152: 3.444928 ms
4194304: 6.584096 ms
8388608: 13.167392 ms
Threads per block(32):
1024: 0.212064 ms
2048: 0.208096 ms
4096: 0.210656 ms
8192: 0.216576 ms
16384: 0.226272 ms
32768: 0.248448 ms
65536: 0.316448 ms
131072: 0.366688 ms
262144: 0.509984 ms
524288: 1.135968 ms
1048576: 1.380768 ms
2097152: 2.576096 ms
4194304: 4.991904 ms
8388608: 9.567872 ms
Threads per block(64):
1024: 0.217696 ms
2048: 0.063552 ms
4096: 0.196096 ms
8192: 0.060480 ms
16384: 0.031808 ms
32768: 0.386432 ms
65536: 0.075552 ms
131072: 0.146848 ms
262144: 0.285504 ms
524288: 3.497216 ms
1048576: 1.612448 ms
2097152: 2.204160 ms
4194304: 4.350368 ms
8388608: 8.859072 ms
Threads per block(128):
1024: 0.280928 ms
2048: 0.052640 ms
4096: 0.206432 ms
8192: 0.057728 ms
16384: 0.030368 ms
32768: 0.656640 ms
65536: 0.072032 ms
131072: 0.156640 ms
262144: 0.275648 ms
524288: 0.739424 ms
1048576: 1.125344 ms
2097152: 2.358272 ms
4194304: 4.570112 ms
8388608: 8.862336 ms
Threads per block(256):
1024: 0.241280 ms
2048: 0.018592 ms
4096: 0.018176 ms
8192: 0.021760 ms
16384: 0.026112 ms
32768: 0.041536 ms
65536: 0.071360 ms
131072: 0.140928 ms
262144: 0.314240 ms
524288: 1.750752 ms
1048576: 1.130624 ms
2097152: 2.202816 ms
4194304: 4.521568 ms
8388608: 8.798528 ms
Threads per block(512):
1024: 0.103072 ms
2048: 0.056704 ms
4096: 0.018560 ms
8192: 1.043744 ms
16384: 0.223904 ms
32768: 0.227776 ms
65536: 0.259904 ms
131072: 0.326912 ms
262144: 0.464576 ms
524288: 0.767808 ms
1048576: 2.098112 ms
2097152: 2.355456 ms
4194304: 4.500672 ms
8388608: 8.792832 ms
Threads per block(1024):
1024: 0.211648 ms
2048: 0.230400 ms
4096: 0.016768 ms
8192: 0.021248 ms
16384: 0.242848 ms
32768: 0.231680 ms
65536: 0.390080 ms
131072: 0.816768 ms
262144: 1.003264 ms
524288: 0.734656 ms
1048576: 1.272544 ms
2097152: 2.345344 ms
4194304: 4.482240 ms
8388608: 8.819872 ms












