f[0] f[1] f[2] f[3] f[4] f[5] f[6] f[7] f[8] f[9] 
0.00 0.00 0.60 1.00 0.64 0.00 0.22 0.82 0.00 0.32 
0.00 0.00 1.00 1.00 0.16 0.00 0.65 0.97 0.00 0.09 
0.00 1.00 1.00 0.00 0.00 0.22 0.94 0.87 0.00 0.09 
0.00 1.00 1.00 0.00 0.00 0.65 1.00 0.52 0.00 0.34 
1.00 1.00 0.40 0.00 0.36 0.94 0.00 0.18 0.08 0.68 
1.00 1.00 0.00 0.00 0.84 1.00 0.00 0.03 0.34 0.91 
1.00 0.00 0.00 0.36 1.00 0.78 0.00 0.13 0.68 0.00 
1.00 0.00 0.00 0.84 1.00 0.35 0.00 0.48 0.91 0.00 
0.00 0.00 0.60 1.00 0.00 0.06 0.13 0.82 0.91 0.00 
0.00 0.00 1.00 1.00 0.00 0.00 0.48 0.97 0.66 0.00 
0.00 0.60 1.00 0.64 0.00 0.22 0.82 0.00 0.32 0.05 
0.00 1.00 1.00 0.16 0.00 0.65 0.97 0.00 0.09 0.23 
1.00 1.00 0.00 0.00 0.22 0.94 0.87 0.00 0.09 0.54 
1.00 1.00 0.00 0.00 0.65 1.00 0.52 0.00 0.34 0.82 
1.00 0.40 0.00 0.36 0.94 0.00 0.18 0.08 0.68 0.91 
1.00 0.00 0.00 0.84 1.00 0.00 0.03 0.34 0.91 0.76 
